bead_type1,bead_type2,bead_type3,smiles1,smiles2,smiles3,heavy_atoms1,heavy_atoms2,heavy_atoms3
CG0,CG7,CG2,CCN,O=CO,CC,3,3,2
CG0,CG7,CG3,CCN,O=CO,CCCC,3,3,4
CG0,CG7,CG4,CCN,O=CO,CCO,3,3,3
CG0,CG7,CG5,CCN,O=CO,CCOC,3,3,4
CG4,CG5,CG5,CCO,CCOC,CCOC,3,4,4
CG4,CG6,CG5,CCO,OCCO,CCOC,3,4,4
CG5,CG4,CG6,CCOC,CCO,OCCO,4,3,4
CG5,CG4,CG7,CCOC,CCO,O=CO,4,3,3
CG5,CG5,CG4,CCOC,CCOC,CCO,4,4,3
CG5,CG5,CG6,CCOC,CCOC,OCCO,4,4,4
CG5,CG5,CG7,CCOC,CCOC,O=CO,4,4,3
CG5,CG6,CG2,CCOC,OCCO,CC,4,4,2
CG5,CG6,CG5,CCOC,OCCO,CCOC,4,4,4
CG6,CG2,CG7,OCCO,CC,O=CO,4,2,3
CG6,CG4,CG5,OCCO,CCO,CCOC,4,3,4
CG6,CG5,CG5,OCCO,CCOC,CCOC,4,4,4
CG7,CG3,CG7,O=CO,CCCC,O=CO,3,4,3
